Stable ID,Category,Title,Issue,Advice,Examples – Pass,Examples – Fail,Accessibility Consideration,References,Rationale,Enforcement Level,Roles,Severity,Metrics Affected,Platform-wise Applicability,Page-wise Applicability,Component-wise Applicability,Context-wise Applicability,Evidence Type,AI Support,Confidence Weight,Version
TC-011,Trust & Credibility,Communicate grievance resolutions clearly to users,• Users are not informed when their grievances are resolved. • Lack of resolution communication causes uncertainty and repeat follow-ups. • This reduces trust and perceived responsiveness of the system.,"• Notify users when grievances are resolved. • Communicate outcomes via status updates, messages, or notifications.",• User receives resolution status or message. • Resolution details visible in grievance history.,• No notification or update after grievance submission.,• Clear resolution messages support users with cognitive and memory impairments.,"GIGW 3.0 – 2.5.5, BIS IS 17428:2020, DBIM","Communicating grievance resolutions is essential for transparent and responsive governance. Timely updates close the feedback loop, reduce user anxiety, and demonstrate accountability in service delivery.",Foundational,Developer,Medium Issue,"User trust, CSAT, Drop-offs","🌐 Website (Desktop), 📱 Website (Mobile View)",Grievance pages,Notification area,Grievance resolution,"Interaction, Content",Assisted,0.55,v3.0.0
TC-012,Trust & Credibility,"Provide a system for users to submit feedback, reviews, and ratings",• Users cannot easily share feedback or ratings. • Lack of feedback channels limits service improvement. • This weakens participation and accountability.,• Provide feedback forms or rating widgets. • Make feedback mechanisms easily accessible.,• Feedback form or rating widget available.,• No feedback or review mechanism present.,• Multiple feedback options support inclusive participation for diverse users.,"GIGW 3.0 – 2.5.6, DBIM, BIS IS 17428:2020","Feedback systems enable citizen participation and continuous service improvement. They support transparency, accountability, and user-centric governance practices.",Optimizing,"Designer, Developer",Small Issue,"User trust, Engagement","🌐 Website (Desktop), 📱 Website (Mobile View), 📲 Mobile App",Common,Feedback module,User feedback,Interaction,Assisted,0.7,v3.0.0
TC-013,Trust & Credibility,Inform users before redirecting them to external websites,• Users are redirected without prior notice. • Unexpected redirection reduces trust and perceived security. • This violates transparency requirements.,• Display external link warnings or indicators. • Inform users before navigating away from the site.,• External link warning or confirmation shown.,• Immediate redirection without notice.,• Warnings help screen-reader users understand navigation context changes.,"GIGW 3.0 – 2.7.2, DBIM, BIS IS 17428:2020",Advance notification of external redirection maintains transparency and protects user trust by clearly signalling context changes and security boundaries.,Foundational,"Designer, Developer",Medium Issue,"User trust, Drop-offs","🌐 Website (Desktop), 📱 Website (Mobile View), 📲 Mobile App",Common,External links,Navigation transparency,"Interaction, Visual",Assisted,0.8,v3.0.0
TC-014,Trust & Credibility,Minimize external redirects and outbound links in mobile applications,• Excessive external redirects expose users to security risks. • Users lose trust when leaving the app frequently. • This weakens app security posture.,• Prefer deep linking and in-app flows. • Restrict and secure necessary external links.,• Services open via deep links or in-app views.,• Frequent redirection to external browsers.,• In-app navigation reduces cognitive load and context loss.,GIGW 3.0 – Cybersecurity Guidelines 5.3,"Reducing external redirects in mobile apps limits security exposure and preserves user trust by keeping interactions within controlled, authenticated environments.",Optimizing,Developer,Medium Issue,"User trust, Security risk",📲 Mobile App,App flows,Navigation,Secure service access,"System, Interaction",Assisted,0.6,v3.0.0
TC-015,Trust & Credibility,Ensure Privacy Policy and Terms & Conditions are available on the website,• Users cannot access legal and policy information. • Missing policies create legal and trust risks. • This violates mandatory compliance requirements.,• Publish Privacy Policy and Terms & Conditions pages. • Ensure links are easily accessible from footer or key pages.,• Footer links to Privacy Policy and Terms pages.,• Policies missing or inaccessible.,• Accessible policy pages support informed decision-making for all users.,GIGW 3.0 – Legal & Policy Requirements,"Availability of legal policies is a foundational compliance requirement. Clear access to Privacy Policy and Terms builds trust, supports informed consent, and ensures legal transparency.",Foundational,"Designer, Developer",Big Issue,"User trust, Legal risk","🌐 Website (Desktop), 📱 Website (Mobile View)",Common,Footer,Legal transparency,Content,Evaluative,0.9,v3.0.0
TC-016,Trust & Credibility,Ensure privacy policies and terms are accessible before users access core functionality,• Users access core features without reviewing legal policies. • Consent is obtained after functionality use begins. • This results in uninformed consent and legal non-compliance.,• Present Privacy Policy and Terms before authentication or feature access. • Require explicit acknowledgement prior to data collection.,• Pre-auth screen displays policies with mandatory acknowledgment.,• Policies accessible only after login or data submission.,"• Pre-access policy viewing supports informed decision-making for all users, including cognitive accessibility needs.","GIGW 3.0 – 5.4, WCAG 2.1 SC 3.2.2","Providing access to legal documents before functionality ensures informed, lawful consent and protects citizens’ data rights. It aligns with lifecycle governance requirements and prevents retroactive or invalid consent collection.",Foundational,"Designer, Developer",Big Issue,"User trust, Legal risk",📲 Mobile App,Pre-auth flows,Policy viewer,Consent initiation,"Interaction, Content",Assisted,0.6,v3.0.0
TC-017,Trust & Credibility,Ensure legal documents are consistently accessible from profile and navigation menus,• Users cannot easily locate legal documents during usage. • Inconsistent access creates transparency gaps. • This weakens trust and compliance perception.,• Provide persistent access to policies from profile and side menu. • Maintain clear navigation to legal documents at all times.,• Legal section accessible from profile and menu.,• Policies hidden deep within app flows.,• Persistent navigation supports users with memory or orientation challenges.,GIGW 3.0 – 5.1.4,Continuous access to legal information reinforces transparency and empowers users to review rights and obligations at any stage of interaction.,Optimizing,"Designer, Developer",Medium Issue,User trust,📲 Mobile App,Common,"Side menu, Profile",Ongoing legal access,"Interaction, Visual",Assisted,0.65,v3.0.0
TC-018,Trust & Credibility,Provide a clearly visible “Contact Us” link on the website,• Users struggle to find support or contact options. • Missing contact access increases frustration. • This reduces transparency and trust.,"• Display a visible “Contact Us” link. • Place it consistently in header, footer, or navigation.",• “Contact Us” link visible on homepage and footer.,• Contact link missing or hidden.,• Consistent placement supports navigation predictability for assistive-technology users.,"GIGW 3.0 – 3.1.2, WCAG 2.1 SC 3.2.3, DBIM",Clear contact access demonstrates openness and accountability. It reassures users that assistance is available and supports transparent governance practices.,Foundational,"Designer, Developer",Medium Issue,"User trust, Drop-offs","🌐 Website (Desktop), 📱 Website (Mobile View)","Homepage, Common","Header, Footer",User support access,"Content, Visual",Evaluative,0.85,v3.0.0
TC-019,Trust & Credibility,Distribute mobile applications through official government and recognised app stores,• Apps distributed through unofficial channels reduce trust. • Users question authenticity and security. • This increases security and compliance risks.,• Publish apps on gov.in app store and recognised commercial stores. • Maintain consistent metadata and certification compliance.,• App listed on gov.in app store and Google Play / App Store.,• App distributed via unofficial links or APKs.,• Official stores provide accessibility and security assurances for all users.,"GIGW 3.0 Distribution, BIS IS 17802:2022","Official distribution channels validate authenticity, ensure security vetting, and protect users from fraudulent or tampered applications.",Foundational,Developer,Big Issue,"User trust, Security risk",📲 Mobile App,App distribution,App stores,App authenticity,System,Assisted,0.75,v3.0.0
TC-020,Trust & Credibility,Implement mandated security protocols and obtain required government cybersecurity certifications,• Required security controls and certifications are missing. • Systems are exposed to cybersecurity threats. • This creates severe legal and operational risks.,"• Obtain mandated certifications (CERT-In, STQC). • Implement secure SDLC and continuous security practices.",• Valid cybersecurity certifications present. • Regular audits and security updates implemented.,• No certification or outdated security practices.,• Secure systems protect vulnerable users relying on digital services.,GIGW 3.0 – Cybersecurity 5.3,Strong cybersecurity posture is essential for protecting citizen data and maintaining trust in government digital systems. Compliance with mandated certifications ensures resilience against threats and legal adherence.,Foundational,Developer,Big Issue,"Security risk, Legal risk, User trust",📲 Mobile App,Common,Infrastructure,Platform security,System,Assisted,0.8,v3.0.0
TC-021,Trust & Credibility,Provide a comprehensive and transparent “About Us” section in the application,"• Users cannot easily understand who operates the application. • Missing version, ownership, or legal details reduce transparency. • This weakens trust and compliance perception.","• Include organisation details, ownership, version metadata, and legal links. • Keep information structured, searchable, and up to date.","• About Us page shows organisation name, version number, legal links, and support contacts.",• About Us page missing ownership or version information.,• Structured information supports users with cognitive disabilities and screen-reader navigation.,GIGW 3.0 – 5.1.9,"A well-structured “About Us” section acts as a transparency anchor for government applications. It enables users to verify authenticity, understand accountability, and access critical legal and support information.",Optimizing,"Designer, Developer",Medium Issue,User trust,📲 Mobile App,About-us,About Us section,Organisational transparency,"Content, Visual",Assisted,0.65,v3.0.0
TC-022,Trust & Credibility,Apply visual brand identity consistently across all application interfaces,"• Inconsistent colours, typography, or logos create fragmented brand perception. • Users may question authenticity due to visual inconsistency. • This weakens trust and recognition.","• Apply DBIM colour, typography, and logo standards consistently. • Maintain a unified design system across screens.","• Consistent colours, fonts, and logos across screens.",• Mixed colour palettes or typography styles.,• Consistent visuals improve readability and reduce cognitive load.,"DBIM Sections 2, 4, 5; GIGW 3.0 – 5.1.1","Consistent visual identity reinforces authenticity, recognisability, and professionalism of government digital services. It reduces cognitive friction and strengthens trust signals.",Optimizing,Designer,Small Issue,"User trust, Recognition",📲 Mobile App,Common,UI components,Brand consistency,Visual,Evaluative,0.7,v3.0.0
TC-023,Trust & Credibility,Implement mandatory data security controls across the application,• Data is insufficiently protected at rest or in transit. • Weak authentication or access control exposes systems to breaches. • This creates severe legal and operational risks.,"• Implement encryption, secure authentication, and access control. • Conduct regular audits and follow secure coding practices.",• Encrypted storage and secure authentication in place. • Regular security audits conducted.,• Plaintext data storage or weak authentication mechanisms.,• Secure systems protect vulnerable users dependent on digital services.,GIGW 3.0 – Cybersecurity 5.3,Strong data security controls are essential to protect citizen information and maintain trust. Compliance with mandated cybersecurity requirements reduces breach risks and ensures regulatory adherence.,Foundational,Developer,Big Issue,"Security risk, Legal risk, User trust",📲 Mobile App,Common,Infrastructure,Data protection,System,Assisted,0.8,v3.0.0
TC-024,Trust & Credibility,Transparently communicate data practices and user rights through clear notices and consent,• Users are unaware of how their data is collected or used. • Consent mechanisms are unclear or insufficient. • This leads to mistrust and non-compliance risks.,"• Provide clear privacy notices and granular consent controls. • Enable users to manage rights such as access, correction, and deletion.",• Clear privacy notice with consent options available. • Privacy dashboard accessible to users.,• Vague or missing data practice disclosures.,"• Plain-language notices improve understanding for all users, including those with cognitive disabilities.","GIGW 3.0 – 5.4; WCAG 2.1 SC 3.1.1, 3.1.2","Transparent communication of data practices empowers users, ensures informed consent, and aligns with privacy-by-design principles mandated for government digital services.",Foundational,Developer,Big Issue,"User trust, Legal risk",📲 Mobile App,"Pre-auth, Common",Privacy notice,Data transparency,"Content, Interaction",Assisted,0.6,v3.0.0
WS-001,Walkthrough Screens,"Explain complex features using plain, easy-to-understand language","• Complex feature explanations use jargon or technical terms. • Users with low or varied literacy struggle to understand functionality. • This leads to confusion, abandonment, and misuse of features.",• Use plain language (6th–8th grade reading level). • Keep sentences short and action-oriented. • Introduce complexity progressively with contextual help.,• Walkthrough text uses simple words and short sentences. • Tooltips explain unavoidable technical terms.,• Dense paragraphs with technical jargon. • Long sentences explaining multiple concepts at once.,• Supports users with cognitive disabilities and low literacy by reducing comprehension effort.,"GIGW 3.0 – 5.1; WCAG 2.1 SC 3.1.3, 3.1.5","Plain language reduces cognitive barriers and ensures inclusive access to digital services. It enables users across literacy levels to understand functionality, supporting equitable service adoption.",Foundational,"Designer, Content",Medium Issue,"Drop-offs, Task failure",📲 Mobile App,Onboarding,Walkthrough screens,Feature introduction,Content,Assisted,0.65,v3.0.0
WS-002,Walkthrough Screens,Limit cognitive load through focused and well-structured walkthrough content,• Walkthrough screens contain excessive or unfocused information. • Users feel overwhelmed and skip onboarding. • This reduces feature understanding and completion rates.,• Present one primary concept per screen. • Use chunking and progressive disclosure. • Remove decorative or redundant content.,• Screens contain a single task or concept. • Content grouped into clear sections.,• Screens overloaded with text and multiple actions.,• Reduced cognitive load benefits users with attention and memory limitations.,WCAG 2.1 SC 2.4.8; GIGW 3.0 – 5.1,Managing cognitive load is essential for effective onboarding. Focused information presentation improves comprehension and reduces abandonment during walkthroughs.,Optimizing,Designer,Medium Issue,"Drop-offs, Task completion",📲 Mobile App,Onboarding,Walkthrough screens,Cognitive onboarding,"Visual, Content",Assisted,0.6,v3.0.0
WS-003,Walkthrough Screens,Use graphics and animations purposefully to support understanding,• Decorative or excessive animations distract users. • Graphics lack accessibility alternatives. • This impairs comprehension and accessibility compliance.,• Use graphics only when they clarify concepts. • Respect reduced-motion preferences. • Provide text alternatives for visuals.,• Illustrations clarify steps. • Animations respect reduced-motion settings.,• Auto-playing animations with no control. • Missing alt text for graphics.,• Supports users with motion sensitivity and screen reader users.,"GIGW 3.0 – 5.1; WCAG 2.1 SC 1.1.1, 2.2.2",Purposeful visuals enhance comprehension when used sparingly and accessibly. Accessible animations support understanding without excluding users sensitive to motion or non-text content.,Optimizing,Designer,Small Issue,"Engagement, Drop-offs",📲 Mobile App,Onboarding,Walkthrough screens,Visual explanation,Visual,Assisted,0.7,v3.0.0
WS-004,Walkthrough Screens,Introduce features progressively to avoid overwhelming users,• Too many features are introduced at once. • Users skip or abandon walkthroughs. • This reduces onboarding effectiveness.,• Use step-by-step onboarding with progress indicators. • Allow skipping and revisiting steps.,• Walkthrough limited to 3–4 focused steps. • Progress indicators visible.,• Long walkthroughs with dense information per screen.,• Step-by-step flows support users with cognitive processing difficulties.,GIGW 3.0 – 5.1; WCAG 2.1 SC 3.3.2,"Progressive disclosure aligns feature introduction with user readiness, improving comprehension and walkthrough completion rates.",Foundational,Designer,Medium Issue,"Drop-offs, Onboarding completion",📲 Mobile App,Onboarding,Walkthrough flow,Feature discovery,Interaction,Assisted,0.65,v3.0.0
WS-005,Walkthrough Screens,Clearly communicate the core value proposition during walkthroughs,• Walkthroughs focus on features without explaining benefits. • Users do not understand why the app is valuable. • This reduces motivation to continue.,• Highlight core benefits early. • Visually emphasize high-value features.,• Benefits stated clearly on first walkthrough screen.,• Feature lists without explaining user value.,• Clear benefits help users with cognitive limitations grasp purpose quickly.,GIGW 3.0 – 5.1,Clear value communication helps users quickly understand relevance and encourages continued engagement with the application.,Foundational,"Designer, Product",Medium Issue,"Engagement, Drop-offs",📲 Mobile App,Onboarding,Walkthrough screens,Value communication,"Content, Visual",Assisted,0.6,v3.0.0
WS-006,Walkthrough Screens,Ensure walkthrough text meets accessibility standards for readability,"• Text size, contrast, or spacing is insufficient. • Users struggle to read walkthrough content. • This creates accessibility violations and exclusion.",• Use minimum font sizes and contrast ratios. • Support text scaling and system fonts. • Maintain readable spacing.,• Text meets contrast and size requirements. • Text scales up to 200% without loss.,• Low contrast text. • Fixed font sizes that do not scale.,• Essential for users with low vision or reading impairments.,WCAG 2.1/2.2 SC 1.4.x; GIGW 3.0 – 5.2,"Readable text is a foundational accessibility requirement. Compliance ensures that all users, including those with visual impairments, can access onboarding content.",Foundational,"Designer, Developer",Big Issue,"Task failure, Accessibility risk",📲 Mobile App,Onboarding,Text elements,Readability,Visual,Evaluative,0.85,v3.0.0
WS-007,Walkthrough Screens,Implement comprehensive screen reader support with semantic structure,• Screen readers cannot correctly interpret walkthrough content. • Focus order is illogical or elements are unlabeled. • This prevents non-visual users from completing onboarding.,• Add semantic labels and roles to all UI elements. • Ensure logical focus order and announce dynamic changes. • Provide alternative navigation paths.,• TalkBack/VoiceOver reads elements in correct order. • All icons and images have meaningful labels.,• Unlabeled buttons. • Focus jumps unpredictably.,• Essential for blind and low-vision users relying on assistive technologies.,"WCAG 2.1 SC 1.3.1, 2.4.3, 4.1.2; WCAG 2.2 SC 2.4.11; GIGW 3.0 – 5.2",Full screen reader support is a foundational accessibility requirement. Proper semantics and focus management ensure that visually impaired users can independently understand and complete onboarding flows.,Foundational,"Designer, Developer",Big Issue,"Task failure, Accessibility risk",📲 Mobile App,Onboarding,Walkthrough screens,Assistive navigation,"DOM, Interaction",Deterministic,0.9,v3.0.0
WS-008,Walkthrough Screens,Keep onboarding sequences concise while ensuring comprehension,• Onboarding has too many screens or excessive content. • Users rush or skip without understanding. • This reduces feature adoption.,• Limit onboarding to optimal screen count. • Focus on essential concepts only. • Validate comprehension through testing.,• 3–4 focused onboarding screens.,"• Long, repetitive onboarding flows.",• Short sequences benefit users with cognitive or attention limitations.,GIGW 3.0 – 5.1,Concise onboarding respects user time and attention while improving understanding. Optimized sequences reduce drop-offs and improve early engagement.,Optimizing,"Designer, Product",Medium Issue,"Drop-offs, Onboarding completion",📲 Mobile App,Onboarding,Walkthrough flow,First-time use,Interaction,Assisted,0.55,v3.0.0
WS-009,Walkthrough Screens,Allow users to skip onboarding and access it later,• Users are forced through onboarding. • No way to revisit guidance later. • This causes frustration and missed learning.,• Provide skip option on all onboarding screens. • Allow access to walkthroughs later from settings or help.,• Visible “Skip” button present. • Tutorial accessible from menu later.,• No skip option. • Walkthrough inaccessible after first use.,• User control benefits users with anxiety or slower processing speed.,GIGW 3.0 – 5.1; WCAG 2.1 SC 2.4.6,Optional onboarding respects user autonomy while preserving learning access when needed.,Foundational,Designer,Medium Issue,"Drop-offs, User frustration",📲 Mobile App,Onboarding,Walkthrough controls,Learning access,Interaction,Assisted,0.65,v3.0.0
WS-010,Walkthrough Screens,Maintain consistent brand voice and communication style during onboarding,• Inconsistent tone across walkthrough screens. • Conflicting terminology confuses users. • This weakens brand trust.,• Apply a consistent content style guide. • Use uniform terminology and tone across screens.,• Same tone and terminology across all steps.,• Mixed formal and informal language.,• Predictable language benefits users with cognitive disabilities.,GIGW 3.0 – 5.1,"Consistent brand voice builds familiarity, credibility, and confidence, especially for first-time users.",Optimizing,"Content, Designer",Small Issue,"User trust, Engagement",📲 Mobile App,Onboarding,Walkthrough copy,Brand communication,Content,Assisted,0.6,v3.0.0
WS-011,Walkthrough Screens,Use supportive and confidence-building language in onboarding,• Language feels intimidating or overly technical. • Users feel anxious or unsure. • This discourages engagement.,"• Use encouraging, friendly language. • Avoid negative or commanding phrasing.",• Encouraging microcopy (“You’re almost done”).,• Threatening or directive language.,• Positive tone supports users with anxiety or low confidence.,DBIM Communication Guidelines; GIGW 3.0 – 5.1,"Supportive language reduces anxiety and increases confidence, leading to better onboarding completion and engagement.",Optimizing,Content,Small Issue,"Engagement, Drop-offs",📲 Mobile App,Onboarding,Walkthrough copy,Emotional onboarding,Content,Assisted,0.55,v3.0.0
WS-012,Walkthrough Screens,Support Indian languages with culturally appropriate localization,• Onboarding content is only in one language. • Cultural or language barriers prevent understanding. • This excludes large user groups.,• Support scheduled Indian languages. • Adapt content culturally and linguistically. • Ensure correct language tagging and RTL support if applicable.,• Language switch available with localized content.,• Only English onboarding provided.,• Critical for users with limited proficiency in English.,GIGW 3.0 – 5.1; WCAG 2.1 SC 3.1.2,Multilingual and culturally adapted onboarding ensures inclusivity and equitable access for India’s diverse user base.,Foundational,"Designer, Developer",Big Issue,"Task failure, Accessibility risk",📲 Mobile App,Onboarding,Language selector,Localization,Content,Assisted,0.7,v3.0.0
